# {"t_start": 1733579369.3844423, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,186.053662
-50.0,50,187.45647
-50.0,50,188.891796
-50.0,50,190.341388
-50.0,50,191.741854
0.0,50,193.131137
-50.0,50,194.540364
-50.0,50,196.804256
-50.0,50,196.911077
-50.0,50,197.01189
-50.0,50,197.106309
-50.0,50,197.198353
-50.0,50,197.290564
-50.0,50,197.37887
-50.0,50,197.468119
-50.0,50,197.55756
-50.0,50,197.647768
-50.0,50,197.732425
-50.0,50,199.077859
-50.0,50,200.67813
-50.0,50,202.03749
-50.0,50,203.397002
-50.0,50,204.743187
-50.0,50,206.171434
-50.0,50,207.508661
-50.0,50,208.862994
-50.0,50,210.745897
-50.0,50,212.205468
-50.0,50,212.311271
-50.0,50,212.405874
-50.0,50,212.501134
-50.0,50,212.592242
-50.0,50,212.684316
-50.0,50,212.773103
0.0,50,212.862168
-50.0,50,212.95278
-50.0,50,213.043174
-50.0,50,213.128177
-50.0,50,214.465438
-50.0,50,215.831778
-50.0,50,217.164397
-50.0,50,218.53756
0.0,50,219.865494
-50.0,50,221.194268
-50.0,50,222.542241
-50.0,50,223.880868
-50.0,50,225.710566
-50.0,50,227.126029
-50.0,50,227.225851
-50.0,50,227.321197
-50.0,50,227.411034
-50.0,50,227.499974
-50.0,50,227.588291
-50.0,50,227.681161
-50.0,50,227.768823
-50.0,50,227.86009
-50.0,50,227.952276
-50.0,50,228.041631
-50.0,50,229.371349
-50.0,50,230.726758
-50.0,50,232.05675
-50.0,50,233.445633
-50.0,50,234.808645
-50.0,50,236.143693
-50.0,50,237.482049
-50.0,50,238.903782
-50.0,50,240.413198
-50.0,50,242.268609
-50.0,50,242.367672
-50.0,50,242.46346
-50.0,50,242.554147
-50.0,50,242.65209
-50.0,50,242.743352
-50.0,50,242.832014
-50.0,50,242.920766
-50.0,50,243.007987
-50.0,50,243.09545
-50.0,50,243.177572
-50.0,50,244.465116
-50.0,50,245.797348
-50.0,50,247.12122
-50.0,50,248.444041
-50.0,50,249.767347
-50.0,50,251.085099
-50.0,50,252.50749
-50.0,50,253.827308
-50.0,50,255.187281
-50.0,50,257.105041
-50.0,50,257.201748
-50.0,50,257.296254
-50.0,50,257.386911
-50.0,50,257.47531
-50.0,50,257.563935
-50.0,50,257.651997
-50.0,50,257.739374
-50.0,50,257.828546
-50.0,50,257.914927
-50.0,50,258.000033
-50.0,50,259.30196
-50.0,50,260.823883
-50.0,50,262.174333
-50.0,50,264.144624
-50.0,50,265.619418
-50.0,50,267.503615
-50.0,50,268.961523
-50.0,50,271.158423
-50.0,50,272.676833
-50.0,50,274.19311
-50.0,50,274.33144
-50.0,50,274.432711
-50.0,50,274.530387
-50.0,50,274.635517
-50.0,50,274.728805
-50.0,50,274.819841
-50.0,50,274.91766
-50.0,50,275.021415
-50.0,50,275.21405
-50.0,50,275.354919
-50.0,50,276.919596
-50.0,50,278.369091
-50.0,50,279.80249
-50.0,50,281.239123
-50.0,50,282.650855
-50.0,50,284.059575
-50.0,50,286.250715
-50.0,50,287.924636
-50.0,50,289.478956
-50.0,50,291.038539
0.0,50,291.164736
0.0,50,291.281526
-50.0,50,291.373394
-50.0,50,291.462468
-50.0,50,291.553325
-50.0,50,291.643325
-50.0,50,291.732237
-50.0,50,291.845651
-50.0,50,291.934466
-50.0,50,292.016467
-50.0,50,293.526488
-50.0,50,294.99317
0.0,50,296.329545
-50.0,50,297.663795
-50.0,50,299.086721
-50.0,50,301.026912
-50.0,50,302.369508
-50.0,50,303.697493
-50.0,50,305.041608
-50.0,50,306.387008
-50.0,50,306.483396
-50.0,50,306.586009
-50.0,50,306.676281
-50.0,50,306.76654
-50.0,50,306.856189
-50.0,50,306.944905
-50.0,50,307.035701
-50.0,50,307.124304
-50.0,50,307.214586
-50.0,50,307.295561
-50.0,50,308.614416
-50.0,50,309.930341
-50.0,50,311.256272
-50.0,50,312.585102
-50.0,50,313.910282
-50.0,50,315.725781
-50.0,50,317.058885
-50.0,50,318.384222
-50.0,50,319.741377
-50.0,50,321.079588
-50.0,50,321.176241
-50.0,50,321.280735
-50.0,50,321.37016
-50.0,50,321.471317
-50.0,50,321.574297
-50.0,50,321.661231
-50.0,50,321.748598
-50.0,50,321.837604
-50.0,50,321.924431
-50.0,50,322.008378
-50.0,50,323.377302
-50.0,50,324.733465
-50.0,50,326.059788
-50.0,50,327.395332
-50.0,50,328.746287
-50.0,50,330.76766
-50.0,50,332.078966
-50.0,50,333.517526
-50.0,50,334.916856
-50.0,50,337.370311
-50.0,50,337.476717
-50.0,50,337.582033
-50.0,50,337.673456
-50.0,50,337.764085
-50.0,50,337.854306
-50.0,50,337.943615
-50.0,50,338.033213
-50.0,50,338.123209
-50.0,50,338.210677
-50.0,50,338.295452
-50.0,50,339.609617
-50.0,50,340.961845
-50.0,50,342.300002
-50.0,50,343.636955
-50.0,50,344.984217
-50.0,50,346.326423
-50.0,50,347.659401
-50.0,50,349.039548
-50.0,50,350.399428
-50.0,50,351.743536
-50.0,50,351.841788
-50.0,50,351.933649
-50.0,50,352.02806
-50.0,50,352.124808
-50.0,50,352.213555
-50.0,50,352.303821
-50.0,50,352.405117
-50.0,50,352.49707
-50.0,50,352.58708
-50.0,50,352.667283
-50.0,50,354.002304
-50.0,50,355.348409
-50.0,50,356.680464
-50.0,50,358.009763
-50.0,50,359.372459
0.0,50,360.704755
-50.0,50,362.042884
-50.0,50,363.384531
-50.0,50,364.713406
-50.0,50,366.06338
-50.0,50,366.160408
-50.0,50,366.252643
-50.0,50,366.345017
-50.0,50,366.445066
-50.0,50,366.537505
-50.0,50,366.626094
-50.0,50,366.720675
-50.0,50,366.807526
-50.0,50,366.895358
-50.0,50,366.981088
-50.0,50,368.2694
-50.0,50,369.630006
-50.0,50,370.963379
-50.0,50,372.290749
0.0,50,373.625745
-50.0,50,374.952624
-50.0,50,376.283381
-50.0,50,377.613473
-50.0,50,378.963025
-50.0,50,380.32134
-50.0,50,380.419739
-50.0,50,380.513451
-50.0,50,380.604243
-50.0,50,380.702591
-50.0,50,380.790885
-50.0,50,380.87935
0.0,50,380.966466
-50.0,50,381.057825
-50.0,50,381.147113
-50.0,50,381.229282
-50.0,50,382.543837
-50.0,50,383.954735
-50.0,50,385.2903
-50.0,50,386.624159
-50.0,50,387.96023
-50.0,50,389.317308
-50.0,50,390.661135
-50.0,50,392.011678
-50.0,50,393.348131
-50.0,50,394.701162
-50.0,50,394.798337
-50.0,50,394.894701
-50.0,50,394.990662
-50.0,50,395.082056
-50.0,50,395.171448
-50.0,50,395.26096
-50.0,50,395.358269
-50.0,50,395.447506
-50.0,50,395.535172
-50.0,50,395.622457
-50.0,50,396.910069
-50.0,50,398.251315
-50.0,50,399.600098
-50.0,50,400.932319
-50.0,50,402.256176
-50.0,50,403.587456
-50.0,50,404.912723
-50.0,50,406.268469
-50.0,50,407.603734
-50.0,50,409.002603
-50.0,50,409.121251
-50.0,50,409.225184
-50.0,50,409.313167
-50.0,50,409.402799
-50.0,50,409.492521
-50.0,50,409.582319
0.0,50,409.679725
-50.0,50,409.769331
-50.0,50,409.85614
-50.0,50,409.937185
-50.0,50,411.236782
-50.0,50,412.569051
-50.0,50,413.914761
-50.0,50,415.259545
-50.0,50,416.581851
-50.0,50,417.91836
-50.0,50,419.274767
-50.0,50,420.617795
-50.0,50,421.945512
-50.0,50,423.294171
-50.0,50,423.392698
-50.0,50,423.48931
0.0,50,423.578661
-50.0,50,423.670912
-50.0,50,423.759531
-50.0,50,423.849981
-50.0,50,423.937297
-50.0,50,424.026881
-50.0,50,424.118741
-50.0,50,424.199798
0.0,50,425.491217
-50.0,50,426.818276
-50.0,50,428.145014
-50.0,50,429.506066
-50.0,50,430.833774
-50.0,50,432.173174
-50.0,50,433.499508
-50.0,50,434.830704
-50.0,50,436.170147
-50.0,50,437.535355
-50.0,50,437.634359
-50.0,50,437.729242
-50.0,50,437.81985
-50.0,50,437.91065
-50.0,50,438.016144
-50.0,50,438.116887
-50.0,50,438.219146
0.0,50,438.306468
-50.0,50,438.393977
-50.0,50,438.474953
-50.0,50,439.776765
-50.0,50,441.108135
-50.0,50,442.46719
-50.0,50,443.804615
-50.0,50,445.194707
-50.0,50,446.521209
-50.0,50,447.857484
-50.0,50,449.220185
-50.0,50,450.603325
-50.0,50,451.944165
-50.0,50,452.04235
-50.0,50,452.148942
-50.0,50,452.241361
-50.0,50,452.333924
-50.0,50,452.434047
-50.0,50,452.529546
0.0,50,452.617162
-50.0,50,452.707074
-50.0,50,452.795592
-50.0,50,452.879046
-50.0,50,454.16955
-50.0,50,455.504715
0.0,50,456.83755
-50.0,50,458.165713
-50.0,50,459.515293
-50.0,50,460.850276
-50.0,50,462.183256
-50.0,50,463.516295
-50.0,50,464.841517
-50.0,50,466.185907
0.0,50,466.284953
-50.0,50,466.390929
-50.0,50,466.481365
-50.0,50,466.569405
-50.0,50,466.657761
-50.0,50,466.76068
-50.0,50,466.848151
-50.0,50,466.947098
-50.0,50,467.034714
-50.0,50,467.120715
-50.0,50,468.420276
-50.0,50,469.762583
-50.0,50,471.117028
-50.0,50,472.450101
-50.0,50,473.78273
-50.0,50,475.127391
-50.0,50,476.461553
0.0,50,477.796197
-50.0,50,479.16257
-50.0,50,480.51307
-50.0,50,480.611219
-50.0,50,480.7058
