epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
65,0.84322244,0.11195839,0.20370096,0.076226704,660.0,-19.903072,0.1,660.0,0.1
66,0.84317756,0.11178192,0.20369941,0.07613392,670.0,-17.151114,0.2,670.0,0.0
67,0.8432453,0.111447304,0.2036957,0.07680122,680.0,-20.101692,0.0,680.0,0.2
68,0.8431546,0.11148778,0.20366049,0.076654054,690.0,-20.961346,0.1,690.0,0.1
69,0.84322244,0.11194599,0.20369299,0.077459835,700.0,-17.145329,0.0,700.0,0.0
70,0.8432506,0.111720204,0.2037045,0.077351436,710.0,-18.979906,0.1,710.0,0.2
71,0.8432128,0.11170415,0.20362861,0.07811481,720.0,-17.701899,0.2,720.0,0.0
72,0.8431366,0.11170816,0.20358324,0.077950604,730.0,-22.903118,0.0,730.0,0.0
73,0.8431646,0.111579776,0.20359248,0.07879439,740.0,-19.540287,0.0,740.0,0.1
74,0.8434456,0.11138824,0.20368251,0.07857528,750.0,-20.462345,0.1,750.0,0.1
75,0.84326106,0.11138777,0.2035705,0.07913551,760.0,-17.02955,0.1,760.0,0.1
76,0.8432501,0.11150386,0.20359065,0.079010874,770.0,-20.269321,0.0,770.0,0.0
77,0.8429541,0.111578345,0.20350665,0.07904711,780.0,-20.51421,0.1,780.0,0.0
78,0.84304214,0.11146641,0.20356873,0.079359986,790.0,-19.203321,0.0,790.0,0.0
79,0.8429546,0.1124418,0.20355767,0.07946014,800.0,-22.479359,0.0,800.0,0.0
80,0.84310246,0.1125507,0.20359604,0.07929096,810.0,-17.507948,0.2,810.0,0.2
81,0.8429777,0.11272517,0.2036254,0.07971411,820.0,-20.99433,0.0,820.0,0.0
82,0.84290314,0.11261017,0.20361067,0.08143268,830.0,-24.096336,0.0,830.0,0.1
83,0.8428073,0.11291921,0.20363577,0.08215779,840.0,-23.314964,0.0,840.0,0.1
84,0.84276885,0.11295996,0.2035868,0.08232879,850.0,-18.080677,0.1,850.0,0.0
85,0.8425412,0.113189064,0.20360836,0.083906285,860.0,-22.182804,0.0,860.0,0.0
86,0.8425723,0.11314923,0.20361772,0.08378677,870.0,-19.849768,0.1,870.0,0.0
87,0.8426272,0.113118134,0.2036128,0.08374112,880.0,-20.968624,0.1,880.0,0.0
88,0.842752,0.11307335,0.20365423,0.083922125,890.0,-20.178066,0.1,890.0,0.0
89,0.84261686,0.11296203,0.203582,0.08477094,900.0,-20.935125,0.0,900.0,0.1
90,0.8425927,0.11280417,0.20358077,0.08456762,910.0,-18.592396,0.0,910.0,0.1
91,0.8425753,0.11268473,0.20356026,0.08455038,920.0,-19.143131,0.1,920.0,0.3
92,0.8425537,0.11359996,0.20360053,0.0852231,930.0,-15.803915,0.3,930.0,0.2
93,0.84245706,0.11343188,0.20353499,0.08561182,940.0,-18.124048,0.0,940.0,0.0
94,0.8422985,0.1134974,0.20352288,0.08626209,950.0,-16.441006,0.1,950.0,0.2
95,0.84223,0.113582134,0.20358966,0.0870843,960.0,-17.869274,0.2,960.0,0.2
96,0.8422206,0.113345385,0.20358516,0.08739638,970.0,-12.6129,0.3,970.0,0.1
97,0.84224796,0.11351603,0.2035796,0.08819679,980.0,-24.944466,0.0,980.0,0.1
98,0.8423321,0.11353006,0.2036476,0.08887714,990.0,-18.711926,0.1,990.0,0.0
99,0.8422529,0.11352532,0.20363003,0.088828795,1000.0,-21.10081,0.0,1000.0,0.0
100,0.842154,0.11395041,0.20362778,0.08971598,1010.0,-20.495308,0.0,1010.0,0.0
101,0.842205,0.11406555,0.20364593,0.09003412,1020.0,-16.173006,0.0,1020.0,0.1
102,0.8421553,0.11396816,0.20363556,0.0899573,1030.0,-15.724258,0.0,1030.0,0.1
103,0.84210443,0.114120394,0.20364495,0.090262026,1040.0,-12.138562,0.3,1040.0,0.1
104,0.8420252,0.11407902,0.20358683,0.09049992,1050.0,-13.516153,0.3,1050.0,0.2
105,0.84190917,0.11448545,0.20357352,0.091039315,1060.0,-22.184265,0.1,1060.0,0.1
106,0.8418295,0.11456603,0.2035169,0.09125329,1070.0,-20.618286,0.1,1070.0,0.0
107,0.8418725,0.11455556,0.20351076,0.09122679,1080.0,-21.317682,0.0,1080.0,0.0
108,0.8419309,0.11461017,0.20350333,0.09165452,1090.0,-14.943097,0.0,1090.0,0.2
109,0.84202504,0.11471715,0.20349103,0.09161541,1100.0,-19.645924,0.1,1100.0,0.0
110,0.8417967,0.11661885,0.20351513,0.09272478,1110.0,-13.702845,0.2,1110.0,0.0
111,0.84182096,0.11661771,0.20352814,0.09285331,1120.0,-19.344461,0.2,1120.0,0.1
112,0.84180576,0.1165617,0.20351692,0.09318469,1130.0,-26.246052,0.0,1130.0,0.1
113,0.8418412,0.11649701,0.2034609,0.09406428,1140.0,-23.08476,0.1,1140.0,0.1
114,0.841705,0.11665416,0.20348527,0.09447901,1150.0,-14.931288,0.3,1150.0,0.0
115,0.84159034,0.11646863,0.20345259,0.09483257,1160.0,-11.992923,0.3,1160.0,0.1
116,0.8416126,0.11650223,0.20343815,0.09474698,1170.0,-19.005833,0.1,1170.0,0.0
117,0.8414688,0.11749178,0.20341949,0.09593739,1180.0,-20.670725,0.0,1180.0,0.0
118,0.84153706,0.11752673,0.20346317,0.09615163,1190.0,-19.40075,0.2,1190.0,0.1
119,0.8413818,0.117533386,0.20341973,0.09636032,1200.0,-21.26908,0.1,1200.0,0.2
120,0.8414581,0.11740088,0.20346205,0.09678163,1210.0,-21.58427,0.1,1210.0,0.2
121,0.8415756,0.11736844,0.2034898,0.09783639,1220.0,-14.2015,0.2,1220.0,0.2
122,0.8416078,0.11755643,0.20349395,0.097963676,1230.0,-19.332613,0.2,1230.0,0.0
123,0.84150356,0.11747715,0.2034893,0.097958595,1240.0,-26.943401,0.0,1240.0,0.3
124,0.8412385,0.11781036,0.20343794,0.09821466,1250.0,-11.994373,0.2,1250.0,0.1
125,0.8413246,0.11778697,0.2033823,0.09887338,1260.0,-16.447659,0.2,1260.0,0.1
126,0.84143,0.11763134,0.20342636,0.099300385,1270.0,-25.735342,0.1,1270.0,0.3
127,0.8414049,0.11784873,0.20344776,0.0997423,1280.0,-26.84223,0.0,1280.0,0.3
128,0.841458,0.11777842,0.20345318,0.099639356,1290.0,-19.607782,0.1,1290.0,0.1
129,0.84142953,0.11767132,0.20347014,0.09984585,1300.0,-20.348099,0.1,1300.0,0.2
130,0.8415075,0.11766114,0.20349857,0.09975202,1310.0,-21.812609,0.1,1310.0,0.5
131,0.84140116,0.11759289,0.20347616,0.09991656,1320.0,-11.28645,0.2,1320.0,0.1
132,0.8412834,0.117585875,0.20345919,0.100100346,1330.0,-17.936802,0.1,1330.0,0.0
133,0.8412282,0.11748338,0.20346071,0.10015102,1340.0,-17.660252,0.1,1340.0,0.3
134,0.8412413,0.117721915,0.20342207,0.10040637,1350.0,-21.341541,0.2,1350.0,0.1
135,0.8412346,0.11778895,0.20342852,0.100634485,1360.0,-18.390987,0.1,1360.0,0.3
136,0.84127134,0.11779072,0.20343572,0.10061255,1370.0,-24.248907,0.1,1370.0,0.2
137,0.8412344,0.11759613,0.2033945,0.10072048,1380.0,-19.21341,0.2,1380.0,0.5
138,0.84115744,0.11743525,0.20336321,0.10072787,1390.0,-15.179746,0.3,1390.0,0.1
139,0.8410285,0.11757941,0.2033238,0.10133778,1400.0,-27.397984,0.1,1400.0,0.2
140,0.8409591,0.11758592,0.2033122,0.10158162,1410.0,-16.302723,0.2,1410.0,0.1
141,0.84103245,0.117678046,0.20331188,0.10164957,1420.0,-11.861983,0.1,1420.0,0.0
142,0.841064,0.1181072,0.20326103,0.10217773,1430.0,-19.992458,0.2,1430.0,0.0
143,0.84107876,0.11808928,0.20328656,0.10249611,1440.0,-15.731809,0.1,1440.0,0.0
144,0.8411085,0.11799731,0.20329146,0.10269131,1450.0,-12.889406,0.4,1450.0,0.2
145,0.84108853,0.1179893,0.20325863,0.10275693,1460.0,-18.192675,0.2,1460.0,0.3
146,0.8410236,0.118097834,0.20333126,0.10328459,1470.0,-15.8722515,0.1,1470.0,0.3
147,0.8408174,0.11859554,0.20328926,0.1035813,1480.0,-12.84606,0.2,1480.0,0.2
148,0.8409226,0.11857889,0.2033071,0.103640884,1490.0,-10.698342,0.2,1490.0,0.0
149,0.84093595,0.11874627,0.20330605,0.103657156,1500.0,-19.150919,0.2,1500.0,0.4
150,0.8409398,0.11869056,0.20329809,0.10367476,1510.0,-26.964664,0.2,1510.0,0.2
151,0.84105396,0.11879504,0.20330389,0.10380502,1520.0,-17.2763,0.3,1520.0,0.2
152,0.84113383,0.1186997,0.20328386,0.10416091,1530.0,-20.839994,0.2,1530.0,0.3
153,0.84119153,0.11857053,0.203297,0.10411133,1540.0,-21.40988,0.3,1540.0,0.2
154,0.841224,0.118754156,0.20333159,0.10442941,1550.0,-7.9888353,0.2,1550.0,0.0
155,0.8412719,0.118697725,0.20332141,0.10467716,1560.0,-16.53952,0.2,1560.0,0.2
156,0.8411898,0.11863173,0.20327555,0.10477751,1570.0,-31.900818,0.1,1570.0,0.2
157,0.84104633,0.119012535,0.20325728,0.10491548,1580.0,-16.634111,0.1,1580.0,0.4
158,0.8410172,0.11904419,0.20323141,0.10495743,1590.0,-12.893969,0.2,1590.0,0.2
159,0.8410971,0.11909779,0.2032312,0.105000794,1600.0,-24.453941,0.2,1600.0,0.1
160,0.8412211,0.119090736,0.20325376,0.104924075,1610.0,-16.044226,0.3,1610.0,0.1
161,0.8412699,0.11897046,0.20323555,0.10509819,1620.0,-18.508131,0.4,1620.0,0.0
162,0.84128684,0.11884778,0.20324168,0.1051084,1630.0,-16.595972,0.2,1630.0,0.4
163,0.84128314,0.11909664,0.20324837,0.10531826,1640.0,-5.2280607,0.5,1640.0,0.2
164,0.84130234,0.11919022,0.20322096,0.10549805,1650.0,-11.267104,0.5,1650.0,0.0
165,0.840911,0.12030721,0.20310108,0.10662536,1660.0,-14.38667,0.2,1660.0,0.0
166,0.84083396,0.12041064,0.20307359,0.10666561,1670.0,-12.601005,0.3,1670.0,0.2
167,0.8408564,0.12036288,0.20311719,0.10678098,1680.0,-15.23111,0.4,1680.0,0.3
168,0.84078026,0.12053317,0.20309576,0.10688689,1690.0,-22.224735,0.1,1690.0,0.2
169,0.84093785,0.120421834,0.20312263,0.10690862,1700.0,-20.671284,0.2,1700.0,0.2
170,0.8409178,0.120323636,0.20312332,0.107060984,1710.0,-14.202823,0.2,1710.0,0.3
171,0.8408862,0.12057828,0.20313202,0.107154906,1720.0,-17.104477,0.5,1720.0,0.1
172,0.8408901,0.1207819,0.20311627,0.10739551,1730.0,-8.580877,0.4,1730.0,0.0
173,0.8408289,0.120714426,0.20306566,0.10757618,1740.0,-8.083475,0.5,1740.0,0.3
174,0.8408518,0.12065193,0.2030857,0.107701175,1750.0,-19.136267,0.3,1750.0,0.2
175,0.8408489,0.12055246,0.20307794,0.1077429,1760.0,-22.47291,0.1,1760.0,0.2
176,0.8408484,0.12067864,0.20311254,0.10830157,1770.0,-15.901865,0.2,1770.0,0.1
177,0.8409204,0.120578386,0.20315205,0.10841628,1780.0,-13.744374,0.5,1780.0,0.0
178,0.84090644,0.12056139,0.20316046,0.10841714,1790.0,-10.379465,0.5,1790.0,0.2
179,0.8409233,0.12052349,0.20315585,0.10839899,1800.0,-24.201704,0.1,1800.0,0.2
180,0.8409355,0.12046254,0.203202,0.10879075,1810.0,-18.42236,0.2,1810.0,0.2
181,0.840941,0.12083042,0.20320922,0.10887527,1820.0,-27.004786,0.2,1820.0,0.3
182,0.84103173,0.12092159,0.20324175,0.10905606,1830.0,-23.3428,0.2,1830.0,0.4
183,0.8409974,0.12083005,0.2032304,0.108951494,1840.0,-21.160397,0.2,1840.0,0.4
184,0.8410146,0.12084118,0.20323974,0.10907954,1850.0,-17.419815,0.3,1850.0,0.2
185,0.8409539,0.120794624,0.20323303,0.109324716,1860.0,-18.937876,0.4,1860.0,0.1
186,0.84094006,0.1207922,0.20324217,0.10945109,1870.0,-10.132246,0.6,1870.0,0.1
187,0.84090257,0.12089029,0.20327045,0.1097609,1880.0,-16.821857,0.4,1880.0,0.4
188,0.84091836,0.12142307,0.20327549,0.11015112,1890.0,-12.928717,0.3,1890.0,0.3
189,0.8409445,0.12138239,0.20328331,0.11042761,1900.0,-18.006626,0.1,1900.0,0.2
190,0.8409562,0.12139985,0.20328338,0.110477336,1910.0,-13.085268,0.2,1910.0,0.1
191,0.8409038,0.12133818,0.20325696,0.110548995,1920.0,-25.373024,0.0,1920.0,0.2
192,0.8408663,0.12133,0.20322832,0.11067381,1930.0,-14.489716,0.6,1930.0,0.1
193,0.84088105,0.1212492,0.20323189,0.11061998,1940.0,-11.195782,0.3,1940.0,0.2
194,0.8408204,0.12113971,0.20322952,0.11066884,1950.0,-19.044418,0.3,1950.0,0.3
195,0.8408769,0.12101084,0.2032057,0.11077639,1960.0,-13.200597,0.4,1960.0,0.2
196,0.84094095,0.12103459,0.20320846,0.11075152,1970.0,-11.726578,0.4,1970.0,0.1
197,0.8410589,0.1209743,0.2032538,0.11095586,1980.0,-17.223959,0.3,1980.0,0.3
198,0.8411092,0.120985515,0.20325239,0.11099009,1990.0,-24.772188,0.1,1990.0,0.2
199,0.84108335,0.121212386,0.20325641,0.11118487,2000.0,-21.225574,0.1,2000.0,0.1
200,0.8410539,0.121225774,0.20326445,0.11157689,2010.0,-6.481694,0.5,2010.0,0.4
201,0.84106654,0.12129728,0.20328102,0.111653216,2020.0,-27.323345,0.0,2020.0,0.3
202,0.8410254,0.12120208,0.20325996,0.11160839,2030.0,-17.119211,0.3,2030.0,0.5
203,0.84098476,0.12104222,0.2032639,0.11173228,2040.0,-11.5437565,0.3,2040.0,0.4
204,0.8409856,0.120991886,0.20324194,0.11165637,2050.0,-13.9323635,0.4,2050.0,0.2
205,0.8410244,0.12093576,0.20324835,0.111821845,2060.0,-11.572343,0.4,2060.0,0.4
206,0.8409764,0.12092582,0.2032181,0.11198597,2070.0,-10.573331,0.4,2070.0,0.5
207,0.84096724,0.120994575,0.20324068,0.11204855,2080.0,-14.681669,0.2,2080.0,0.1
208,0.84093815,0.12095336,0.2032134,0.11205843,2090.0,-12.451126,0.6,2090.0,0.3
209,0.84098953,0.120868646,0.2032139,0.11219347,2100.0,-13.043637,0.2,2100.0,0.2
210,0.8410558,0.12087504,0.20321397,0.11214689,2110.0,-28.091593,0.2,2110.0,0.2
211,0.8410423,0.1208271,0.20324577,0.11241999,2120.0,-14.044493,0.4,2120.0,0.3
