# {"t_start": 1745263611.6502566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,214.121433
-50.0,50,215.543224
-50.0,50,216.969556
-50.0,50,218.421006
-50.0,50,219.793416
-50.0,50,221.194501
-50.0,50,222.642149
-50.0,50,224.105353
-50.0,50,224.207111
-50.0,50,224.300838
-50.0,50,224.391877
-50.0,50,224.480441
-50.0,50,224.567967
-50.0,50,224.655419
-50.0,50,224.740485
-50.0,50,224.825848
-50.0,50,224.910644
-50.0,50,224.990627
-50.0,50,226.317612
-50.0,50,227.706987
-50.0,50,229.070176
-50.0,50,230.425004
-50.0,50,232.281314
-50.0,50,233.651635
-50.0,50,235.014454
-50.0,50,236.48839
0.0,50,237.97642
-50.0,50,239.356528
-50.0,50,239.453578
-50.0,50,239.556207
-50.0,50,239.646836
-50.0,50,239.735396
-50.0,50,239.824419
-50.0,50,239.912366
-50.0,50,240.001049
-50.0,50,240.08711
-50.0,50,240.173678
-50.0,50,240.261908
-50.0,50,241.601768
-50.0,50,242.958514
-50.0,50,244.45444
-50.0,50,245.958719
-50.0,50,247.717284
-50.0,50,249.238169
-50.0,50,250.698349
0.0,50,252.656654
-50.0,50,254.083142
-50.0,50,255.632014
-50.0,50,255.732513
-50.0,50,255.82798
-50.0,50,255.919305
-50.0,50,256.13
-50.0,50,256.222206
-50.0,50,256.31298
-50.0,50,256.403531
-50.0,50,256.494436
-50.0,50,256.58601
-50.0,50,256.672076
-50.0,50,258.047273
-50.0,50,259.418199
-50.0,50,260.819361
-50.0,50,262.418404
-50.0,50,263.811352
-50.0,50,265.464396
-50.0,50,266.868064
-50.0,50,268.332336
-50.0,50,269.77115
-50.0,50,271.209661
-50.0,50,271.309793
-50.0,50,271.415124
-50.0,50,271.518996
-50.0,50,271.617702
-50.0,50,271.708691
-50.0,50,271.796796
-50.0,50,271.961065
-50.0,50,272.055391
-50.0,50,272.144464
-50.0,50,272.229263
-50.0,50,273.675751
0.0,50,275.069136
-50.0,50,276.515707
-50.0,50,277.917695
-50.0,50,279.355158
-50.0,50,281.054583
-50.0,50,282.926697
-50.0,50,284.407048
-50.0,50,285.927191
-50.0,50,287.578766
-50.0,50,287.683544
-50.0,50,287.786219
-50.0,50,287.884211
-50.0,50,288.049941
-50.0,50,288.204195
-50.0,50,288.35525
-50.0,50,288.44979
-50.0,50,288.540082
-50.0,50,288.685149
-50.0,50,288.784184
-50.0,50,290.169064
0.0,50,291.542953
-50.0,50,292.939332
-50.0,50,295.075172
-50.0,50,296.689063
-50.0,50,298.815508
-50.0,50,300.239982
-50.0,50,301.637763
-50.0,50,303.015782
-50.0,50,305.213221
-50.0,50,305.397324
-50.0,50,305.536904
-50.0,50,305.650326
0.0,50,305.751348
-50.0,50,305.845955
-50.0,50,305.945855
-50.0,50,306.038767
-50.0,50,306.136161
-50.0,50,306.228926
-50.0,50,306.316232
-50.0,50,307.703372
-50.0,50,309.101459
-50.0,50,310.493913
-50.0,50,311.863183
-50.0,50,313.263789
-50.0,50,314.662031
-50.0,50,316.091927
-50.0,50,317.595385
-50.0,50,318.970924
-50.0,50,320.514432
-50.0,50,320.613171
-50.0,50,320.710003
-50.0,50,320.801425
-50.0,50,320.893667
-50.0,50,320.989426
-50.0,50,321.084675
-50.0,50,321.17164
-50.0,50,321.265614
-50.0,50,321.356706
-50.0,50,321.439052
-50.0,50,322.779274
-50.0,50,324.147379
-50.0,50,325.517149
-50.0,50,326.885825
-50.0,50,328.266847
-50.0,50,329.63566
-50.0,50,331.008602
-50.0,50,332.378356
-50.0,50,333.741823
-50.0,50,335.246914
-50.0,50,335.364269
-50.0,50,335.467475
-50.0,50,335.571556
-50.0,50,335.669418
-50.0,50,335.765659
-50.0,50,335.85669
-50.0,50,335.952435
-50.0,50,336.046525
-50.0,50,336.134175
0.0,50,336.217259
-50.0,50,337.574898
-50.0,50,338.954843
-50.0,50,340.367958
-50.0,50,341.778623
-50.0,50,343.148852
-50.0,50,344.565812
-50.0,50,345.941443
-50.0,50,347.334197
-50.0,50,348.702209
-50.0,50,350.282867
-50.0,50,350.396891
-50.0,50,350.499894
-50.0,50,350.592442
-50.0,50,350.696017
-50.0,50,350.787056
-50.0,50,350.878817
0.0,50,350.966939
-50.0,50,351.060784
0.0,50,351.152687
-50.0,50,351.234985
-50.0,50,352.583471
-50.0,50,353.992977
-50.0,50,355.475463
-50.0,50,356.904655
-50.0,50,358.290402
-50.0,50,359.663665
-50.0,50,361.071405
-50.0,50,362.443228
-50.0,50,363.822877
-50.0,50,365.402117
-50.0,50,365.50068
-50.0,50,365.600695
-50.0,50,365.707883
-50.0,50,365.798018
-50.0,50,365.893461
-50.0,50,365.982407
-50.0,50,366.078934
-50.0,50,366.174594
-50.0,50,366.261245
-50.0,50,366.346766
-50.0,50,367.716594
-50.0,50,369.079747
-50.0,50,370.463795
-50.0,50,371.828975
-50.0,50,373.191743
-50.0,50,374.57816
-50.0,50,375.946951
-50.0,50,377.470363
-50.0,50,378.830188
-50.0,50,380.484502
-50.0,50,380.582231
-50.0,50,380.684896
-50.0,50,380.776034
-50.0,50,380.864724
-50.0,50,380.96247
-50.0,50,381.059456
-50.0,50,381.145625
-50.0,50,381.232171
-50.0,50,381.324892
-50.0,50,381.418705
-50.0,50,382.76166
-50.0,50,384.124104
-50.0,50,385.511797
-50.0,50,386.874524
-50.0,50,388.266213
-50.0,50,389.638036
-50.0,50,390.995992
-50.0,50,392.365947
-50.0,50,393.732375
-50.0,50,395.247796
-50.0,50,395.359104
-50.0,50,395.454689
-50.0,50,395.555913
-50.0,50,395.665671
-50.0,50,395.756936
-50.0,50,395.846568
-50.0,50,395.941476
-50.0,50,396.028875
-50.0,50,396.122348
-50.0,50,396.214037
-50.0,50,397.627937
-50.0,50,399.568765
-50.0,50,401.022507
-50.0,50,402.50514
-50.0,50,403.940099
0.0,50,405.34318
-50.0,50,406.712617
-50.0,50,408.132928
-50.0,50,409.664438
-50.0,50,411.224318
-50.0,50,411.373965
-50.0,50,411.500467
-50.0,50,411.608027
-50.0,50,411.722856
-50.0,50,411.81334
