# {"t_start": 1745264905.2853973, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,200.489367
-50.0,50,201.890346
-50.0,50,203.300242
-50.0,50,204.705054
-50.0,50,206.103029
-50.0,50,207.524903
-50.0,50,209.029637
-50.0,50,210.509006
-50.0,50,210.616601
-50.0,50,210.722497
-50.0,50,210.822892
-50.0,50,210.919855
-50.0,50,211.022506
-50.0,50,211.114156
0.0,50,211.210934
-50.0,50,211.304899
-50.0,50,211.406839
-50.0,50,211.496854
-50.0,50,212.925279
-50.0,50,214.360173
-50.0,50,215.76771
-50.0,50,217.177239
-50.0,50,218.582406
-50.0,50,219.983368
-50.0,50,221.386103
-50.0,50,222.797289
-50.0,50,224.222424
0.0,50,225.662268
-50.0,50,225.764762
-50.0,50,225.873044
-50.0,50,225.969954
-50.0,50,226.074257
-50.0,50,226.167172
-50.0,50,226.256784
-50.0,50,226.346103
-50.0,50,226.434629
-50.0,50,226.52467
-50.0,50,226.608416
-50.0,50,227.982283
-50.0,50,229.379198
-50.0,50,230.783002
-50.0,50,232.196942
-50.0,50,233.622996
-50.0,50,235.018854
-50.0,50,236.421917
-50.0,50,237.825857
-50.0,50,239.233715
-50.0,50,240.661525
-50.0,50,240.772022
-50.0,50,240.875495
-50.0,50,240.975488
-50.0,50,241.070704
-50.0,50,241.164695
-50.0,50,241.265345
-50.0,50,241.368672
-50.0,50,241.461514
-50.0,50,241.551903
0.0,50,241.635891
-50.0,50,243.106953
-50.0,50,244.52822
-50.0,50,245.925284
-50.0,50,247.324722
-50.0,50,248.762363
-50.0,50,250.157434
-50.0,50,251.555191
-50.0,50,253.06807
-50.0,50,255.37325
-50.0,50,256.9198
-50.0,50,257.037585
-50.0,50,257.14925
-50.0,50,257.261712
-50.0,50,257.370379
-50.0,50,257.474837
-50.0,50,257.576619
-50.0,50,257.681462
-50.0,50,257.782901
-50.0,50,257.889346
-50.0,50,257.987212
-50.0,50,259.763744
-50.0,50,261.380239
-50.0,50,262.914824
-50.0,50,264.426811
-50.0,50,265.912304
-50.0,50,267.524293
-50.0,50,269.074162
-50.0,50,270.506157
-50.0,50,271.956408
-50.0,50,273.372513
-50.0,50,273.517362
-50.0,50,273.615009
-50.0,50,273.711114
-50.0,50,273.805646
0.0,50,273.898036
-50.0,50,273.991713
-50.0,50,274.083563
-50.0,50,274.187727
-50.0,50,274.278616
-50.0,50,274.361782
-50.0,50,275.731617
-50.0,50,277.140235
-50.0,50,278.553603
-50.0,50,279.960204
-50.0,50,281.373378
-50.0,50,282.793377
-50.0,50,284.282376
-50.0,50,285.866033
-50.0,50,287.315796
-50.0,50,288.757809
-50.0,50,288.859589
-50.0,50,288.957555
-50.0,50,289.052275
-50.0,50,289.142962
-50.0,50,289.243721
-50.0,50,289.341852
-50.0,50,289.441782
-50.0,50,289.533735
-50.0,50,289.627498
-50.0,50,289.716105
0.0,50,291.080118
-50.0,50,292.505785
-50.0,50,293.962059
-50.0,50,295.589194
-50.0,50,297.154783
-50.0,50,299.350367
-50.0,50,300.824752
-50.0,50,302.375407
-50.0,50,303.857614
-50.0,50,305.315978
-50.0,50,305.435003
-50.0,50,305.544401
-50.0,50,305.658471
-50.0,50,305.771099
-50.0,50,305.878265
-50.0,50,305.97436
-50.0,50,306.076331
-50.0,50,306.176337
-50.0,50,306.279822
-50.0,50,306.365919
-50.0,50,307.738844
-50.0,50,309.196118
-50.0,50,310.631533
-50.0,50,312.035236
-50.0,50,313.561283
-50.0,50,314.958842
-50.0,50,316.363133
-50.0,50,317.772453
-50.0,50,319.174294
-50.0,50,320.599158
-50.0,50,320.705345
-50.0,50,320.811466
-50.0,50,320.91265
-50.0,50,321.012727
-50.0,50,321.102318
-50.0,50,321.192283
-50.0,50,321.281411
-50.0,50,321.371443
-50.0,50,321.46213
-50.0,50,321.542845
-50.0,50,322.967183
-50.0,50,324.389871
-50.0,50,325.787918
-50.0,50,327.190759
0.0,50,328.602184
-50.0,50,330.014776
-50.0,50,331.436614
-50.0,50,332.858421
-50.0,50,334.310934
-50.0,50,335.738902
-50.0,50,335.83935
-50.0,50,335.943876
-50.0,50,336.040515
-50.0,50,336.134169
-50.0,50,336.229731
-50.0,50,336.34381
-50.0,50,336.445541
-50.0,50,336.539278
-50.0,50,336.638377
-50.0,50,336.721238
-50.0,50,338.109803
-50.0,50,339.510304
-50.0,50,340.910191
-50.0,50,342.323251
-50.0,50,343.754115
-50.0,50,345.159179
-50.0,50,346.565494
-50.0,50,347.98252
-50.0,50,349.423372
-50.0,50,350.850285
-50.0,50,350.95216
-50.0,50,351.048568
-50.0,50,351.150784
-50.0,50,351.245369
-50.0,50,351.340504
-50.0,50,351.432606
-50.0,50,351.522879
-50.0,50,351.614214
-50.0,50,351.704229
-50.0,50,351.792872
-50.0,50,353.157176
-50.0,50,354.587845
-50.0,50,355.999863
-50.0,50,357.407397
-50.0,50,358.812027
-50.0,50,360.217485
-50.0,50,361.621316
-50.0,50,363.140035
-50.0,50,364.561523
-50.0,50,365.981389
-50.0,50,366.083984
-50.0,50,366.186411
-50.0,50,366.281234
-50.0,50,366.374654
-50.0,50,366.466506
-50.0,50,366.558117
-50.0,50,366.660403
-50.0,50,366.749611
-50.0,50,366.838196
-50.0,50,366.935831
-50.0,50,368.322472
-50.0,50,369.803725
-50.0,50,371.204959
-50.0,50,372.62128
-50.0,50,374.056323
-50.0,50,375.457643
-50.0,50,376.85974
-50.0,50,378.301552
-50.0,50,379.789958
-50.0,50,381.235709
-50.0,50,381.337226
-50.0,50,381.434195
-50.0,50,381.535968
-50.0,50,381.630015
-50.0,50,381.744112
-50.0,50,381.834896
-50.0,50,381.933829
-50.0,50,382.028484
-50.0,50,382.118311
-50.0,50,382.20419
-50.0,50,383.621013
-50.0,50,385.176194
-50.0,50,386.581068
-50.0,50,387.984907
-50.0,50,389.410481
-50.0,50,390.821312
-50.0,50,392.227521
-50.0,50,393.654159
-50.0,50,395.061384
-50.0,50,396.490327
-50.0,50,396.596483
-50.0,50,396.699601
-50.0,50,396.804933
-50.0,50,396.895919
-50.0,50,396.987916
-50.0,50,397.078416
-50.0,50,397.173245
-50.0,50,397.275055
-50.0,50,397.374007
-50.0,50,397.454951
-50.0,50,398.834431
-50.0,50,400.264276
-50.0,50,401.684139
-50.0,50,403.134648
-50.0,50,404.594276
-50.0,50,406.002713
-50.0,50,407.403619
-50.0,50,408.823314
-50.0,50,410.240899
-50.0,50,411.697215
-50.0,50,411.818166
-50.0,50,411.927627
-50.0,50,412.055369
-50.0,50,412.158065
-50.0,50,412.261172
-50.0,50,412.355582
-50.0,50,412.451971
-50.0,50,412.545866
-50.0,50,412.645822
-50.0,50,412.73163
-50.0,50,414.265529
-50.0,50,415.848691
-50.0,50,417.290512
-50.0,50,418.784554
-50.0,50,420.254351
-50.0,50,421.718826
-50.0,50,423.376869
-50.0,50,424.84493
-50.0,50,426.489827
-50.0,50,427.960971
-50.0,50,428.084485
-50.0,50,428.185546
-50.0,50,428.289423
-50.0,50,428.383581
-50.0,50,428.477075
-50.0,50,428.593403
0.0,50,428.684513
-50.0,50,428.792483
0.0,50,428.883804
-50.0,50,428.980529
-50.0,50,430.365826
-50.0,50,431.775977
-50.0,50,433.171943
-50.0,50,434.586934
-50.0,50,435.986983
-50.0,50,437.397357
-50.0,50,438.841074
-50.0,50,440.282034
-50.0,50,441.730607
-50.0,50,443.182152
-50.0,50,443.286533
0.0,50,443.381317
-50.0,50,443.497941
-50.0,50,443.588555
0.0,50,443.677643
-50.0,50,443.766995
-50.0,50,443.865064
-50.0,50,443.956084
-50.0,50,444.044376
-50.0,50,444.129403
-50.0,50,445.509261
-50.0,50,446.913198
-50.0,50,448.321529
-50.0,50,449.731626
-50.0,50,451.145846
-50.0,50,452.542856
-50.0,50,453.970546
-50.0,50,455.371694
-50.0,50,456.776128
-50.0,50,458.207869
-50.0,50,458.311393
